strcmp,strcmp,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,702,716,2,SmallerC-master
strcmp,strcmp,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,719,743,5,SmallerC-master
memmove,memmove,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,719,743,5,SmallerC-master
strlen,strlen,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,746,761,2,SmallerC-master
strcpy,strcpy,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,746,761,2,SmallerC-master
strchr,strchr,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,764,785,4,SmallerC-master
strcmp,strcmp,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,821,831,0,SmallerC-master
strlen,strlen,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,834,855,4,SmallerC-master
strcpy,strcpy,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,834,855,4,SmallerC-master
strcmp,strcmp,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,868,887,3,SmallerC-master
strlen,strlen,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,890,904,2,SmallerC-master
memmove,memmove,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,890,904,2,SmallerC-master
strlen,strlen,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,918,929,1,SmallerC-master
strcmp,strcmp,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,955,964,0,SmallerC-master
fgetc,fgetc,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1033,1053,4,SmallerC-master
fclose,fclose,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1033,1053,4,SmallerC-master
memmove,memmove,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1056,1069,1,SmallerC-master
strlen,strlen,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1083,1166,25,SmallerC-master
memcpy,memcpy,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1083,1166,25,SmallerC-master
strcpy,strcpy,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1083,1166,25,SmallerC-master
fopen,fopen,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1083,1166,25,SmallerC-master
strlen,strlen,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1083,1166,25,SmallerC-master
strcpy,strcpy,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1083,1166,25,SmallerC-master
strcpy,strcpy,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1083,1166,25,SmallerC-master
fopen,fopen,D:/Code/Repos/r10k_cpp/home/yoyo/work/SmallerC-master/v0100/smlrc.c,1083,1166,25,SmallerC-master
